u,Trial,probabsame,minutessame,probabmodify1,minutesmodify1,probabmodify2,minutesmodify2,probabmodify3,minutesmodify3
pro13,0,5,0,1,0,3,0,0,0
pro13,1,13,0,0,0,0,0,0,0
pro15,0,13,0,1,0,0,0,1,0
pro15,1,3,0,1,0,1,0,2,0
pro17,0,18,0,4,0,2,0,1,0
pro17,1,17,0,5,0,0,0,2,0
pro18,0,19,0,8,0,0,0,0,0
pro18,1,6,0,5,0,4,0,0,0
pro20,0,17,0,9,0,1,0,0,0
pro20,1,4,0,0,0,0,0,2,0
pro21,0,40,0,5,0,1,0,2,0
pro21,1,31,0,0,0,2,0,1,0
pro22,0,28,0,7,0,11,0,1,0
pro22,1,14,0,0,0,0,0,1,0
pro23,0,22,0,3,0,4,0,2,0
pro23,1,14,0,1,0,2,0,2,0
pro24,0,6,0,1,0,3,0,2,0
pro24,1,9,0,1,0,4,0,1,0
pro25,0,2,0,3,0,0,0,0,0
pro25,1,2,0,0,0,0,0,0,0
pro29,0,33,0,12,0,11,0,6,0
pro29,1,23,0,4,0,0,0,1,0
pro31,0,24,0,4,0,5,0,1,0
pro31,1,9,0,0,0,0,0,4,0
pro3,0,8,0,1,0,1,0,6,0
pro3,1,7,0,2,0,2,0,1,0
pro5,0,22,0,19,0,0,0,1,0
pro5,1,18,0,1,0,4,0,0,0
pro8,0,27,0,3,0,8,0,12,0
pro8,1,29,0,7,0,6,0,10,0
pro9,0,10,0,6,0,2,0,1,0
pro9,1,10,0,0,0,3,0,1,0
stu10,0,22,0,3,0,1,0,2,0
stu10,1,9,0,2,0,4,0,4,0
stu11,0,7,0,1,0,3,0,0,0
stu11,1,6,0,1,0,0,0,1,0
stu13,0,4,0,1,0,1,0,0,0
stu13,1,7,0,0,0,1,0,2,0
stu15,0,15,0,1,0,3,0,1,0
stu15,1,6,0,0,0,0,0,0,0
stu17,0,1,0,1,0,0,0,0,0
stu17,1,0,0,0,0,1,0,0,0
stu21,0,5,0,8,0,0,0,0,0
stu21,1,4,0,3,0,0,0,0,0
stu24,0,4,0,5,0,1,0,0,0
stu24,1,9,0,0,0,0,0,0,0
stu25,0,23,0,3,0,3,0,0,0
stu25,1,20,0,0,0,0,0,2,0
stu26,0,27,0,2,0,1,0,0,0
stu26,1,13,0,0,0,2,0,2,0
stu29,0,8,0,0,0,1,0,0,0
stu29,1,4,0,0,0,0,0,0,0
stu30,0,9,0,1,0,0,0,0,0
stu30,1,0,0,0,0,0,0,0,0
stu31,0,28,0,0,0,3,0,2,0
stu31,1,8,0,4,0,0,0,0,0
stu36,0,11,0,1,0,1,0,2,0
stu36,1,3,0,0,0,0,0,0,0
stu37,0,10,0,1,0,1,0,2,0
stu37,1,11,0,0,0,0,0,0,0
stu38,0,21,0,1,0,8,0,2,0
stu38,1,18,0,2,0,2,0,3,0
stu39,0,8,0,7,0,0,0,0,0
stu39,1,3,0,2,0,3,0,0,0
stu3,0,2,0,0,0,1,0,0,0
stu3,1,3,0,0,0,0,0,0,0
stu4,0,9,0,1,0,1,0,0,0
stu4,1,19,0,0,0,0,0,2,0
stu6,0,9,0,2,0,3,0,0,0
stu6,1,6,0,0,0,2,0,2,0
stu7,0,19,0,9,0,8,0,0,0
stu7,1,38,0,12,0,12,0,3,0
