Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,pro25_acf_p4,0.6,0.0001,0.1,,0.7333333333333334,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.7,0.001,0.05,,0.72,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.8,0.0001,0.5,,0.6823529411764706,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.9,0.001,0.05,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.05,0.0001,0.05,,0.6828282828282829,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.1,0.0001,0.1,,0.7446808510638299,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.2,0.0001,0.5,,0.730952380952381,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.3,0.001,0.05,,0.7671232876712328,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.4,0.0001,0.5,,0.6952380952380952,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.5,0.0001,0.5,,0.7384615384615385,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.6,0.001,0.05,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.7,0.0001,0.8,,0.80625,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.8,0.001,0.05,,0.8571428571428571,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.9,0.0001,0.05,,0.909090909090909,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.05,0.0001,0.05,,0.7298245614035088,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.1,0.0001,0.5,,0.6925925925925926,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.2,0.0001,0.1,,0.7208333333333333,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.3,0.0001,0.1,,0.7047619047619047,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.4,0.001,0.05,,0.75,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.5,0.001,0.05,,0.7333333333333333,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.6,0.001,0.05,,0.7916666666666666,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.7,0.001,0.05,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.8,0.001,0.05,,0.75,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.9,0.0001,0.05,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.05,0.0001,0.05,,0.6866666666666665,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.1,0.0001,0.05,,0.7052631578947368,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.2,0.0001,0.05,,0.7058823529411765,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.3,0.0001,0.05,,0.6622222222222222,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.4,0.0001,0.05,,0.6421052631578947,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.5,0.0001,0.1,,0.6375,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.6,0.0001,0.2,,0.5692307692307692,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.7,0.0001,0.5,,0.5684210526315789,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.8,0.0001,0.05,,0.43076923076923085,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.9,0.0001,0.5,,0.19999999999999998,"[None, None, None]",0
Reinforce,pro3_ace_p4,0.05,0.0001,0.1,,0.7088607594936709,"[None, None, None]",0
Reinforce,pro3_ace_p4,0.1,0.0001,0.05,,0.6639999999999999,"[None, None, None]",0
Reinforce,pro3_ace_p4,0.2,0.0001,0.9,,0.7104477611940299,"[None, None, None]",0
Reinforce,pro3_ace_p4,0.3,0.0001,0.1,,0.7118644067796609,"[None, None, None]",0
Reinforce,pro3_ace_p4,0.4,0.001,0.1,,0.8,"[None, None, None]",0
Reinforce,pro3_ace_p4,0.5,0.0001,0.05,,0.780952380952381,"[None, None, None]",0
Reinforce,pro3_ace_p4,0.6,0.0001,0.05,,0.8352941176470587,"[None, None, None]",0
Reinforce,pro3_ace_p4,0.7,0.001,0.05,,0.96,"[None, None, None]",0
Reinforce,pro3_ace_p4,0.8,0.0001,0.5,,1.0,"[None, None, None]",0
Reinforce,pro3_ace_p4,0.9,0.0001,0.8,,0.9777777777777779,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.05,0.001,0.8,,0.254320987654321,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.1,0.01,0.8,,0.4805194805194805,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.2,0.001,0.05,,0.5588235294117647,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.3,0.001,0.05,,0.5666666666666667,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.4,0.001,0.9,,0.580392156862745,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.5,0.001,0.05,,0.5348837209302325,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.6,0.001,0.05,,0.5588235294117647,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.7,0.001,0.99,,0.6153846153846154,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.8,0.001,0.1,,0.5882352941176471,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.9,0.001,0.1,,0.4444444444444445,"[None, None, None]",0
Reinforce,pro17_ace_p4,0.05,0.0001,0.1,,0.631638418079096,"[None, None, None]",0
Reinforce,pro17_ace_p4,0.1,0.0001,0.1,,0.6285714285714286,"[None, None, None]",0
Reinforce,pro17_ace_p4,0.2,0.0001,0.05,,0.5865771812080537,"[None, None, None]",0
Reinforce,pro17_ace_p4,0.3,0.001,0.1,,0.6106870229007634,"[None, None, None]",0
Reinforce,pro17_ace_p4,0.4,0.001,0.05,,0.6428571428571429,"[None, None, None]",0
Reinforce,pro17_ace_p4,0.5,0.001,0.05,,0.6344086021505376,"[None, None, None]",0
Reinforce,pro17_ace_p4,0.6,0.0001,0.5,,0.64,"[None, None, None]",0
Reinforce,pro17_ace_p4,0.7,0.0001,0.1,,0.5535714285714286,"[None, None, None]",0
Reinforce,pro17_ace_p4,0.8,0.001,0.05,,0.5,"[None, None, None]",0
Reinforce,pro17_ace_p4,0.9,0.001,0.05,,0.631578947368421,"[None, None, None]",0
Reinforce,pro9_acf_p4,0.05,0.0001,0.1,,0.24324324324324326,"[None, None, None]",0
Reinforce,pro9_acf_p4,0.1,0.0001,0.2,,0.5714285714285714,"[None, None, None]",0
Reinforce,pro9_acf_p4,0.2,0.0001,0.05,,0.6161290322580645,"[None, None, None]",0
Reinforce,pro9_acf_p4,0.3,0.01,0.05,,0.6185185185185185,"[None, None, None]",0
Reinforce,pro9_acf_p4,0.4,0.0001,0.9,,0.5787234042553192,"[None, None, None]",0
Reinforce,pro9_acf_p4,0.5,0.0001,0.2,,0.5794871794871795,"[None, None, None]",0
Reinforce,pro9_acf_p4,0.6,0.0001,0.2,,0.5419354838709677,"[None, None, None]",0
Reinforce,pro9_acf_p4,0.7,0.0001,0.05,,0.5750000000000001,"[None, None, None]",0
Reinforce,pro9_acf_p4,0.8,0.0001,0.8,,0.625,"[None, None, None]",0
Reinforce,pro9_acf_p4,0.9,0.0001,0.2,,0.75,"[None, None, None]",0
Reinforce,pro20_ade_p4,0.05,0.0001,0.1,,0.5506493506493506,"[None, None, None]",0
Reinforce,pro20_ade_p4,0.1,0.0001,0.8,,0.552054794520548,"[None, None, None]",0
Reinforce,pro20_ade_p4,0.2,0.0001,0.05,,0.5953846153846154,"[None, None, None]",0
Reinforce,pro20_ade_p4,0.3,0.0001,0.2,,0.6140350877192983,"[None, None, None]",0
Reinforce,pro20_ade_p4,0.4,0.0001,0.2,,0.5775510204081632,"[None, None, None]",0
Reinforce,pro20_ade_p4,0.5,0.0001,0.05,,0.5777777777777777,"[None, None, None]",0
Reinforce,pro20_ade_p4,0.6,0.001,0.05,,0.6307692307692307,"[None, None, None]",0
Reinforce,pro20_ade_p4,0.7,0.0001,0.05,,0.5836734693877551,"[None, None, None]",0
Reinforce,pro20_ade_p4,0.8,0.0001,0.8,,0.5939393939393939,"[None, None, None]",0
Reinforce,pro20_ade_p4,0.9,0.0001,0.05,,0.6235294117647059,"[None, None, None]",0
Reinforce,pro29_ace_p4,0.05,0.0001,0.05,,0.591044776119403,"[None, None, None]",0
Reinforce,pro29_ace_p4,0.1,0.001,0.8,,0.6393700787401574,"[None, None, None]",0
Reinforce,pro29_ace_p4,0.2,0.0001,0.5,,0.6353982300884956,"[None, None, None]",0
Reinforce,pro29_ace_p4,0.3,0.0001,0.1,,0.6181818181818182,"[None, None, None]",0
Reinforce,pro29_ace_p4,0.4,0.0001,0.2,,0.6376470588235293,"[None, None, None]",0
Reinforce,pro29_ace_p4,0.5,0.001,0.05,,0.6619718309859155,"[None, None, None]",0
Reinforce,pro29_ace_p4,0.6,0.001,0.05,,0.6491228070175439,"[None, None, None]",0
Reinforce,pro29_ace_p4,0.7,0.001,0.05,,0.6511627906976745,"[None, None, None]",0
Reinforce,pro29_ace_p4,0.8,0.0001,0.05,,0.5862068965517241,"[None, None, None]",0
Reinforce,pro29_ace_p4,0.9,0.001,0.05,,0.6,"[None, None, None]",0
Reinforce,stu17_ace_p4,0.05,0.0001,0.8,,0.5,"[None, None, None]",0
Reinforce,stu17_ace_p4,0.1,0.0001,0.05,,0.4928571428571429,"[None, None, None]",0
Reinforce,stu17_ace_p4,0.2,0.0001,0.1,,0.44000000000000006,"[None, None, None]",0
Reinforce,stu17_ace_p4,0.3,0.0001,0.1,,0.4,"[None, None, None]",0
Reinforce,stu17_ace_p4,0.4,0.0001,0.2,,0.3684210526315789,"[None, None, None]",0
Reinforce,stu17_ace_p4,0.5,0.0001,0.2,,0.3125,"[None, None, None]",0
Reinforce,stu17_ace_p4,0.6,0.0001,0.1,,0.21538461538461537,"[None, None, None]",0
Reinforce,stu17_ace_p4,0.7,0.0001,0.1,,0.2,"[None, None, None]",0
Reinforce,stu17_ace_p4,0.8,0.001,0.9,,0.14285714285714285,"[None, None, None]",0
Reinforce,stu17_ace_p4,0.9,0.0001,0.1,,0.25,"[None, None, None]",0
Reinforce,stu13_acf_p4,0.05,0.0001,0.05,,0.8113207547169811,"[None, None, None]",0
Reinforce,stu13_acf_p4,0.1,0.001,0.05,,0.8,"[None, None, None]",0
Reinforce,stu13_acf_p4,0.2,0.001,0.2,,0.8136363636363637,"[None, None, None]",0
Reinforce,stu13_acf_p4,0.3,0.0001,0.05,,0.8358974358974359,"[None, None, None]",0
Reinforce,stu13_acf_p4,0.4,0.0001,0.05,,0.8242424242424242,"[None, None, None]",0
Reinforce,stu13_acf_p4,0.5,0.0001,0.1,,0.7999999999999998,"[None, None, None]",0
Reinforce,stu13_acf_p4,0.6,0.0001,0.2,,0.8545454545454545,"[None, None, None]",0
Reinforce,stu13_acf_p4,0.7,0.001,0.1,,0.8823529411764707,"[None, None, None]",0
Reinforce,stu13_acf_p4,0.8,0.0001,0.05,,0.8181818181818181,"[None, None, None]",0
Reinforce,stu13_acf_p4,0.9,0.0001,0.05,,1.0,"[None, None, None]",0
Reinforce,stu10_acf_p4,0.05,0.0001,0.05,,0.8717391304347826,"[None, None, None]",0
Reinforce,stu10_acf_p4,0.1,0.0001,0.2,,0.871264367816092,"[None, None, None]",0
Reinforce,stu10_acf_p4,0.2,0.0001,0.05,,0.9064935064935066,"[None, None, None]",0
