User,Accuracy,Algorithm,GranularPredictions,Predictions,GroundTruth
pro10_bdf_p1,0.21052631578947367,Momentum,"defaultdict(None, {'same': (4, 1.0)})","['same', 'same', 'same', 'same']","['same', 'same', 'same', 'same']"
pro11_bcf_p1,0.125,Momentum,"defaultdict(None, {'same': (15, 0.7333333333333333), 'modify-2': (3, 0.0)})","['modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2']","['same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same']"
pro12_bdf_p1,0.07042253521126761,Momentum,"defaultdict(None, {'same': (9, 0.4444444444444444), 'modify-1': (4, 0.0), 'modify-2': (2, 0.5)})","['same', 'same', 'same', 'modify-2', 'same', 'modify-2', 'modify-1', 'same', 'modify-2', 'same', 'modify-2', 'same', 'same', 'modify-1', 'same']","['same', 'same', 'modify-1', 'same', 'modify-2', 'modify-2', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'same']"
pro14_bdf_p1,0.13513513513513514,Momentum,"defaultdict(None, {'same': (7, 0.7142857142857143), 'modify-1': (1, 0.0)})","['modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same']","['same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same']"
pro16_bce_p1,0.2,Momentum,"defaultdict(None, {'same': (4, 1.0)})","['same', 'same', 'same', 'same']","['same', 'same', 'same', 'same']"
pro19_bcf_p1,0.08196721311475409,Momentum,"defaultdict(None, {'same': (8, 0.625), 'modify-1': (4, 0.0), 'modify-2': (1, 0.0)})","['same', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'modify-2', 'same']","['same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'modify-1', 'modify-2', 'same', 'same']"
pro1_bcf_p1,0.06896551724137931,Momentum,"defaultdict(None, {'modify-2': (2, 0.0), 'same': (4, 0.5)})","['same', 'modify-2', 'same', 'same', 'modify-1', 'same']","['modify-2', 'same', 'same', 'modify-2', 'same', 'same']"
pro26_bde_p1,0.09433962264150944,Momentum,"defaultdict(None, {'modify-1': (3, 0.0), 'same': (8, 0.625)})","['same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same']","['modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same']"
pro27_bcf_p1,0.17117117117117117,Momentum,"defaultdict(None, {'same': (21, 0.9047619047619048), 'modify-2': (2, 0.0)})","['modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
pro28_bce_p1,0.06060606060606061,Momentum,"defaultdict(None, {'modify-1': (4, 0.25), 'same': (3, 0.3333333333333333)})","['same', 'same', 'modify-1', 'modify-2', 'same', 'modify-1', 'same']","['modify-1', 'modify-1', 'modify-1', 'same', 'modify-1', 'same', 'same']"
pro2_bce_p1,0.09219858156028368,Momentum,"defaultdict(None, {'same': (17, 0.7058823529411765), 'modify-1': (6, 0.0), 'modify-2': (3, 0.3333333333333333), 'modify-3': (3, 0.0)})","['same', 'same', 'same', 'modify-1', 'same', 'modify-2', 'modify-1', 'same', 'modify-3', 'modify-2', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'modify-2', 'modify-2', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'modify-1', 'same', 'modify-2', 'modify-3', 'modify-3', 'modify-3', 'modify-1', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'modify-2', 'modify-2', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same']"
pro30_bde_p1,0.11764705882352941,Momentum,"defaultdict(None, {'modify-2': (1, 0.0), 'modify-1': (1, 0.0), 'same': (5, 0.8)})","['modify-1', 'modify-2', 'modify-1', 'same', 'same', 'same', 'same']","['modify-2', 'modify-1', 'same', 'same', 'same', 'same', 'same']"
pro32_bdf_p1,0.05263157894736842,Momentum,"defaultdict(None, {'modify-1': (1, 0.0), 'modify-2': (1, 0.0), 'same': (2, 0.5)})","['same', 'same', 'modify-1', 'same']","['modify-1', 'modify-2', 'same', 'same']"
pro4_bce_p1,0.21212121212121213,Momentum,"defaultdict(None, {'same': (7, 1.0)})","['same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'same', 'same', 'same', 'same', 'same']"
pro6_bde_p1,0.2222222222222222,Momentum,"defaultdict(None, {'same': (4, 1.0)})","['same', 'same', 'same', 'same']","['same', 'same', 'same', 'same']"
pro7_bde_p1,0.09615384615384616,Momentum,"defaultdict(None, {'modify-1': (3, 0.0), 'same': (8, 0.625)})","['same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-2', 'same']","['modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same']"
stu12_bdf_p1,0.06451612903225806,Momentum,"defaultdict(None, {'modify-1': (8, 0.25), 'same': (5, 0.4)})","['same', 'modify-1', 'modify-3', 'modify-1', 'same', 'same', 'same', 'modify-2', 'modify-3', 'same', 'modify-3', 'modify-1', 'modify-1']","['modify-1', 'modify-1', 'modify-1', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-1', 'modify-1', 'same']"
stu14_bcf_p1,0.13333333333333333,Momentum,"defaultdict(None, {'same': (5, 0.8), 'modify-1': (1, 0.0)})","['modify-1', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'modify-1', 'same', 'same', 'same']"
stu16_bcf_p1,0.0935672514619883,Momentum,"defaultdict(None, {'modify-2': (12, 0.3333333333333333), 'same': (19, 0.631578947368421), 'modify-1': (4, 0.0)})","['modify-3', 'same', 'modify-2', 'modify-2', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'modify-1', 'same', 'same', 'modify-2', 'modify-2', 'modify-1', 'modify-2', 'modify-1', 'same', 'same', 'modify-2', 'modify-1', 'modify-1', 'same', 'modify-2', 'same', 'same']","['modify-2', 'modify-2', 'modify-2', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'modify-2', 'same', 'same', 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'modify-1', 'same', 'same', 'modify-2', 'modify-2', 'modify-2', 'same', 'modify-1', 'same', 'same', 'same']"
stu18_bde_p1,0.11904761904761904,Momentum,"defaultdict(None, {'same': (7, 0.7142857142857143), 'modify-1': (2, 0.0)})","['same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'modify-1']","['same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'modify-1', 'same']"
stu19_bde_p1,0.09090909090909091,Momentum,"defaultdict(None, {'same': (4, 0.5), 'modify-1': (1, 0.0)})","['modify-2', 'same', 'same', 'modify-1', 'same']","['same', 'same', 'modify-1', 'same', 'same']"
stu1_bce_p1,0.1271186440677966,Momentum,"defaultdict(None, {'modify-1': (9, 0.4444444444444444), 'same': (15, 0.7333333333333333)})","['same', 'modify-1', 'modify-2', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'same']","['modify-1', 'modify-1', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same']"
stu20_bdf_p1,0.11764705882352941,Momentum,"defaultdict(None, {'same': (3, 0.6666666666666666), 'modify-1': (1, 0.0)})","['same', 'same', 'modify-1', 'same']","['same', 'modify-1', 'same', 'same']"
stu22_bde_p1,0.14285714285714285,Momentum,"defaultdict(None, {'same': (11, 0.8181818181818182), 'modify-1': (2, 0.0)})","['same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same']","['same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same']"
stu23_bdf_p1,0.0847457627118644,Momentum,"defaultdict(None, {'same': (6, 0.6666666666666666), 'modify-1': (4, 0.25), 'modify-2': (2, 0.0)})","['same', 'same', 'same', 'same', 'modify-2', 'same', 'modify-1', 'modify-1', 'same', 'modify-2', 'same', 'same']","['same', 'modify-1', 'same', 'modify-2', 'same', 'modify-1', 'modify-1', 'modify-2', 'modify-1', 'same', 'same', 'same']"
stu27_bdf_p1,0.16,Momentum,"defaultdict(None, {'modify-2': (2, 0.5), 'same': (8, 0.875)})","['same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
stu28_bde_p1,0.18181818181818182,Momentum,"defaultdict(None, {'modify-1': (2, 1.0), 'same': (3, 0.6666666666666666)})","['modify-1', 'modify-1', 'modify-1', 'same', 'same']","['modify-1', 'modify-1', 'same', 'same', 'same']"
stu2_bce_p1,0.12222222222222222,Momentum,"defaultdict(None, {'modify-3': (2, 0.0), 'same': (12, 0.8333333333333334), 'modify-1': (3, 0.0), 'modify-2': (1, 1.0)})","['same', 'modify-2', 'modify-3', 'same', 'modify-2', 'same', 'modify-2', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['modify-3', 'modify-3', 'same', 'modify-1', 'modify-1', 'modify-1', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
stu32_bce_p1,0.030303030303030304,Momentum,"defaultdict(None, {'same': (3, 0.3333333333333333), 'modify-1': (4, 0.0)})","['same', 'same', 'modify-2', 'modify-2', 'modify-1', 'same', 'modify-1']","['same', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-1', 'same']"
