User,Accuracy,Algorithm,StateAccuracy
pro10_bdf_p1,0.7222222222222222,Greedy,"[None, None, None]"
pro11_bcf_p1,0.4827586206896552,Greedy,"[None, None, None]"
pro12_bdf_p1,0.5,Greedy,"[None, None, None]"
pro14_bdf_p1,0.5555555555555556,Greedy,"[None, None, None]"
pro16_bce_p1,0.8421052631578947,Greedy,"[None, None, None]"
pro19_bcf_p1,0.65,Greedy,"[None, None, None]"
pro1_bcf_p1,0.4642857142857143,Greedy,"[None, None, None]"
pro26_bde_p1,0.4423076923076923,Greedy,"[None, None, None]"
pro27_bcf_p1,0.7181818181818181,Greedy,"[None, None, None]"
pro28_bce_p1,0.5625,Greedy,"[None, None, None]"
pro2_bce_p1,0.42142857142857143,Greedy,"[None, None, None]"
pro30_bde_p1,0.6363636363636364,Greedy,"[None, None, None]"
pro32_bdf_p1,0.6111111111111112,Greedy,"[None, None, None]"
pro4_bce_p1,0.625,Greedy,"[None, None, None]"
pro6_bde_p1,0.7647058823529411,Greedy,"[None, None, None]"
pro7_bde_p1,0.6470588235294118,Greedy,"[None, None, None]"
stu12_bdf_p1,0.47540983606557374,Greedy,"[None, None, None]"
stu14_bcf_p1,0.6551724137931034,Greedy,"[None, None, None]"
stu16_bcf_p1,0.5882352941176471,Greedy,"[None, None, None]"
stu18_bde_p1,0.5853658536585366,Greedy,"[None, None, None]"
stu19_bde_p1,0.5714285714285714,Greedy,"[None, None, None]"
stu1_bce_p1,0.5555555555555556,Greedy,"[None, None, None]"
stu20_bdf_p1,0.5,Greedy,"[None, None, None]"
stu22_bde_p1,0.5,Greedy,"[None, None, None]"
stu23_bdf_p1,0.5,Greedy,"[None, None, None]"
stu27_bdf_p1,0.673469387755102,Greedy,"[None, None, None]"
stu28_bde_p1,0.42857142857142855,Greedy,"[None, None, None]"
stu2_bce_p1,0.48314606741573035,Greedy,"[None, None, None]"
stu32_bce_p1,0.5,Greedy,"[None, None, None]"
stu33_bce_p1,0.6122448979591837,Greedy,"[None, None, None]"
stu34_bcf_p1,0.5294117647058824,Greedy,"[None, None, None]"
stu35_bde_p1,0.35106382978723405,Greedy,"[None, None, None]"
stu40_bdf_p1,0.4473684210526316,Greedy,"[None, None, None]"
stu5_bcf_p1,0.5625,Greedy,"[None, None, None]"
stu8_bce_p1,0.8333333333333334,Greedy,"[None, None, None]"
stu9_bcf_p1,0.8,Greedy,"[None, None, None]"
