User,Accuracy,Algorithm,StateAccuracy,GranularPredictions,Predictions,GroundTruth,Threshold,Openended,Task,LearningRate,Discount,Reward,Temperature,Epsilon
pro27_bcf_p1,0.0434782608695652,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
pro28_bce_p1,0.2857142857142857,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
pro2_bce_p1,0.2413793103448276,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
pro30_bde_p1,0.0,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
pro32_bdf_p1,0.0,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
pro4_bce_p1,1.0,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
pro6_bde_p1,1.0,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
pro7_bde_p1,0.1818181818181818,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
stu12_bdf_p1,0.2307692307692307,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
stu14_bcf_p1,0.0,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
stu16_bcf_p1,0.1428571428571428,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
stu18_bde_p1,0.5555555555555556,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
stu19_bde_p1,0.4,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
stu1_bce_p1,0.0833333333333333,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
stu20_bdf_p1,0.0,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
stu22_bde_p1,0.3076923076923077,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
stu23_bdf_p1,0.3333333333333333,Momentum,"[0, 0, 0]",,,,0.8,Focused,p1,0.0,0.0,,,
