User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,Task
323,main chart changed because of clicking a field,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-size<aggregate>mean,US_Gross-quantitative-y<bin>",1602700241284,12.322222222222225,same,"['Major_Genre', 'US_DVD_Sales', 'US_Gross']","[1, 3, 10]",Foraging,p3
324,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-size<aggregate>mean,US_Gross-quantitative-y<bin>",1602700241803,12.322222222222225,same,"['Major_Genre', 'US_DVD_Sales', 'US_Gross']","[1, 3, 10]",Sensemaking,p3
330,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-size<aggregate>mean,US_Gross-quantitative-y<bin>",1602700243485,12.322222222222225,same,"['Major_Genre', 'US_DVD_Sales', 'US_Gross']","[1, 3, 10]",Sensemaking,p3
332,added chart to bookmark,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-size<aggregate>mean,US_Gross-quantitative-y<bin>",1602700244220,12.322222222222225,same,"['Major_Genre', 'US_DVD_Sales', 'US_Gross']","[1, 3, 10]",Sensemaking,p3
333,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-size<aggregate>mean,US_Gross-quantitative-y<bin>",1602700276834,12.322222222222225,modify-2,"['Major_Genre', 'US_DVD_Sales', 'US_Gross']","[1, 3, 10]",Sensemaking,p3
335,clicked on a field,remove US_DVD_Sales,1602700278183,2.6833333333333336,modify-2,"['None', 'None', 'US_DVD_Sales']","[3, 16, 16]",Foraging,p3
336,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,US_Gross-quantitative-x",1602700278250,9.738888888888887,modify-2,"['Major_Genre', 'None', 'US_Gross']","[1, 10, 16]",Foraging,p3
337,clicked on a field,remove undefined,1602700278967,0.1,modify-2,"['None', 'None', 'None']","[16, 16, 16]",Foraging,p3
338,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,US_Gross-quantitative-x",1602700278989,9.738888888888887,modify-2,"['Major_Genre', 'None', 'US_Gross']","[1, 10, 16]",Foraging,p3
339,clicked on a field,add Worldwide_Gross,1602700281412,2.1,modify-2,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging,p3
340,main chart changed because of clicking a field,"mark:point;encoding:Major_Genre-nominal-x,US_Gross-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1602700281446,11.738888888888887,modify-2,"['Major_Genre', 'US_Gross', 'Worldwide_Gross']","[1, 2, 10]",Foraging,p3
341,clicked on a field,remove US_Gross,1602700282763,2.85,modify-2,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging,p3
342,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1602700282803,8.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Foraging,p3
343,mouseover on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1602700283343,8.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking,p3
348,mouseout on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1602700284734,8.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking,p3
353,mouseover on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1602700285519,8.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking,p3
354,mouseout on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1602700287606,8.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking,p3
358,mouseout on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1602700290123,8.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking,p3
361,added chart to bookmark,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1602700297392,8.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking,p3
362,mouseover on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1602700299566,8.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking,p3
364,mouseover on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1602700317051,8.988888888888889,modify-1,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking,p3
366,clicked on a field,remove Worldwide_Gross,1602700319723,2.1,modify-1,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging,p3
367,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1602700319794,6.988888888888889,modify-1,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging,p3
368,clicked on a field,add IMDB_Rating,1602700321810,1.9611111111111112,modify-1,"['IMDB_Rating', 'None', 'None']","[14, 16, 16]",Foraging,p3
