User,Accuracy,Algorithm,StateAccuracy
pro13_ace_p2,0.5555555555555556,Greedy,"[None, None, None]"
pro15_ade_p2,0.6326530612244898,Greedy,"[None, None, None]"
pro17_ace_p2,0.6956521739130435,Greedy,"[None, None, None]"
pro18_adf_p2,0.7777777777777778,Greedy,"[None, None, None]"
pro20_ade_p2,0.6764705882352942,Greedy,"[None, None, None]"
pro21_ade_p2,0.5974025974025974,Greedy,"[None, None, None]"
pro22_ade_p2,0.5977011494252874,Greedy,"[None, None, None]"
pro23_acf_p2,0.6372549019607843,Greedy,"[None, None, None]"
pro24_adf_p2,0.5217391304347826,Greedy,"[None, None, None]"
pro25_acf_p2,0.5,Greedy,"[None, None, None]"
pro29_ace_p2,0.6,Greedy,"[None, None, None]"
pro31_adf_p2,0.46153846153846156,Greedy,"[None, None, None]"
pro3_ace_p2,0.5185185185185185,Greedy,"[None, None, None]"
pro5_adf_p2,0.7101449275362319,Greedy,"[None, None, None]"
pro8_acf_p2,0.7063492063492064,Greedy,"[None, None, None]"
pro9_acf_p2,0.6086956521739131,Greedy,"[None, None, None]"
stu10_acf_p2,0.5945945945945946,Greedy,"[None, None, None]"
stu11_adf_p2,0.5294117647058824,Greedy,"[None, None, None]"
stu13_acf_p2,0.6190476190476191,Greedy,"[None, None, None]"
stu15_ade_p2,0.5957446808510638,Greedy,"[None, None, None]"
stu17_ace_p2,0.7058823529411765,Greedy,"[None, None, None]"
stu21_ace_p2,0.5362318840579711,Greedy,"[None, None, None]"
stu24_ace_p2,0.6923076923076923,Greedy,"[None, None, None]"
stu25_ace_p2,0.7428571428571429,Greedy,"[None, None, None]"
stu26_ace_p2,0.6111111111111112,Greedy,"[None, None, None]"
stu29_ade_p2,0.5789473684210527,Greedy,"[None, None, None]"
stu30_adf_p2,0.7058823529411765,Greedy,"[None, None, None]"
stu31_ade_p2,0.6052631578947368,Greedy,"[None, None, None]"
stu36_adf_p2,0.6666666666666666,Greedy,"[None, None, None]"
stu37_adf_p2,0.6477272727272727,Greedy,"[None, None, None]"
stu38_acf_p2,0.6341463414634146,Greedy,"[None, None, None]"
stu39_adf_p2,0.6101694915254238,Greedy,"[None, None, None]"
stu3_acf_p2,0.6621621621621622,Greedy,"[None, None, None]"
stu4_ade_p2,0.6388888888888888,Greedy,"[None, None, None]"
stu6_acf_p2,0.5076923076923077,Greedy,"[None, None, None]"
stu7_ade_p2,0.4358974358974359,Greedy,"[None, None, None]"
