Time,State,action,reward,visualization,subtask
00:26:27,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:26:28,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:26:29,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:26:30,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:26:31,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:26:32,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:26:33,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:26:34,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:26:35,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:26:36,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:26:46,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:26:48,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:26:49,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:27:02,(Sensemaking+geo-0-1),pan,1.0,geo-0-1,2
00:27:03,(Sensemaking+geo-0-1),pan,1.0,geo-0-1,2
00:27:04,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:27:05,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:27:12,(Sensemaking+geo-0-1),pan,1.0,geo-0-1,2
00:27:15,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:27:25,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:27:25,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:27:26,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:27:38,(Sensemaking+geo-0-1),pan,1.0,geo-0-1,2
00:27:39,(Sensemaking+geo-0-1),pan,1.0,geo-0-1,2
00:27:40,(Sensemaking+geo-0-1),pan,1.0,geo-0-1,2
00:27:41,(Sensemaking+geo-0-1),pan,1.0,geo-0-1,2
00:27:42,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:27:43,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:28:20,(Sensemaking+hist-4),brush,0.25,hist-4,2
00:28:25,(Question+hist-4),brush,0.0,hist-4,2
00:28:25,(Sensemaking+hist-4),brush,0.0,hist-4,2
00:28:26,(Sensemaking+hist-4),brush,0.25,hist-4,2
00:28:26,(Sensemaking+hist-3),brush,0.25,hist-3,2
00:28:26,(Sensemaking+hist-2),brush,0.25,hist-2,2
00:28:29,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:28:32,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:28:33,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:28:34,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:28:41,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:28:44,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:28:46,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:28:48,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:28:49,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:28:50,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:28:53,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:29:00,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:29:02,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:29:02,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:29:02,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:29:03,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:29:04,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:29:05,(Question+geo-0-1),range select,0.0,geo-0-1,2
00:29:16,(Sensemaking+hist-4),brush,0.0,hist-4,2
00:29:17,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:29:18,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:29:19,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:29:22,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:29:23,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:29:24,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:29:25,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:29:37,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:29:38,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:29:39,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:29:45,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:29:46,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,2
00:29:48,(Sensemaking+bar-5),brush,0.0,bar-5,2
00:29:53,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:29:55,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:29:56,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:29:56,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:29:56,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:29:59,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:30:00,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:30:01,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:30:02,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:30:02,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:30:02,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:30:02,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:30:03,(Sensemaking+geo-0-1),pan,1.0,geo-0-1,2
00:30:06,(Sensemaking+geo-0-1),pan,1.0,geo-0-1,2
00:30:08,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:30:09,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:30:18,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:30:19,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:30:20,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:30:21,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:30:22,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:30:23,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:30:24,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:30:25,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:30:27,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:30:28,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:30:38,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:30:39,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:30:43,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
00:30:43,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
00:30:44,(Sensemaking+geo-0-1),zoom,0.25,geo-0-1,2
00:30:44,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
00:30:44,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
