Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,pro17_ace_p3,0.6,0.01,0.2,,0.7857142857142857,"[None, None, None]",0
Reinforce,pro17_ace_p3,0.7,0.01,0.05,,0.7619047619047619,"[None, None, None]",0
Reinforce,pro17_ace_p3,0.8,0.01,0.1,,0.7857142857142857,"[None, None, None]",0
Reinforce,pro17_ace_p3,0.9,0.01,0.05,,0.7857142857142857,"[None, None, None]",0
Reinforce,pro3_ace_p3,0.05,0.01,0.9,,0.4375,"[None, None, None]",0
Reinforce,pro3_ace_p3,0.1,0.001,0.99,,0.5737704918032787,"[None, None, None]",0
Reinforce,pro3_ace_p3,0.2,0.01,0.8,,0.4444444444444444,"[None, None, None]",0
Reinforce,pro3_ace_p3,0.3,0.01,0.05,,0.40425531914893614,"[None, None, None]",0
Reinforce,pro3_ace_p3,0.4,0.01,0.05,,0.4878048780487805,"[None, None, None]",0
Reinforce,pro3_ace_p3,0.5,0.01,0.1,,0.47058823529411764,"[None, None, None]",0
Reinforce,pro3_ace_p3,0.6,0.01,0.05,,0.6296296296296297,"[None, None, None]",0
Reinforce,pro3_ace_p3,0.7,0.01,0.2,,0.5238095238095238,"[None, None, None]",0
Reinforce,pro3_ace_p3,0.8,0.01,0.1,,0.7142857142857143,"[None, None, None]",0
Reinforce,pro3_ace_p3,0.9,0.01,0.1,,0.7142857142857143,"[None, None, None]",0
Reinforce,pro23_acf_p3,0.05,0.001,0.8,,0.5810055865921788,"[None, None, None]",0
Reinforce,pro23_acf_p3,0.1,0.01,0.2,,0.5705882352941176,"[None, None, None]",0
Reinforce,pro23_acf_p3,0.2,0.01,0.05,,0.5496688741721855,"[None, None, None]",0
Reinforce,pro23_acf_p3,0.3,0.01,0.9,,0.5,"[None, None, None]",0
Reinforce,pro23_acf_p3,0.4,0.01,0.1,,0.4336283185840708,"[None, None, None]",0
Reinforce,pro23_acf_p3,0.5,1.0,0.5,,0.5531914893617021,"[None, None, None]",0
Reinforce,pro23_acf_p3,0.6,0.01,0.1,,0.3157894736842105,"[None, None, None]",0
Reinforce,pro23_acf_p3,0.7,0.01,0.2,,0.2982456140350877,"[None, None, None]",0
Reinforce,pro23_acf_p3,0.8,0.01,0.1,,0.3684210526315789,"[None, None, None]",0
Reinforce,pro23_acf_p3,0.9,0.1,0.2,,0.0,"[None, None, None]",0
Reinforce,pro5_adf_p3,0.05,0.0001,0.2,,0.26136363636363635,"[None, None, None]",0
Reinforce,pro5_adf_p3,0.1,0.001,0.05,,0.4457831325301205,"[None, None, None]",0
Reinforce,pro5_adf_p3,0.2,0.01,0.1,,0.12162162162162163,"[None, None, None]",0
Reinforce,pro5_adf_p3,0.3,0.01,0.05,,0.4,"[None, None, None]",0
Reinforce,pro5_adf_p3,0.4,0.01,0.05,,0.4107142857142857,"[None, None, None]",0
Reinforce,pro5_adf_p3,0.5,0.01,0.2,,0.3695652173913043,"[None, None, None]",0
Reinforce,pro5_adf_p3,0.6,0.01,0.2,,0.43243243243243246,"[None, None, None]",0
Reinforce,pro5_adf_p3,0.7,0.1,0.2,,0.4642857142857143,"[None, None, None]",0
Reinforce,pro5_adf_p3,0.8,0.01,0.1,,0.631578947368421,"[None, None, None]",0
Reinforce,pro5_adf_p3,0.9,0.01,0.05,,0.7,"[None, None, None]",0
Reinforce,pro22_ade_p3,0.05,0.01,0.05,,0.14893617021276595,"[None, None, None]",0
Reinforce,pro22_ade_p3,0.1,0.01,0.1,,0.1404494382022472,"[None, None, None]",0
Reinforce,pro22_ade_p3,0.2,0.01,0.2,,0.08860759493670886,"[None, None, None]",0
Reinforce,pro22_ade_p3,0.3,0.01,0.05,,0.6884057971014492,"[None, None, None]",0
Reinforce,pro22_ade_p3,0.4,0.01,0.1,,0.7058823529411765,"[None, None, None]",0
Reinforce,pro22_ade_p3,0.5,0.01,0.1,,0.7070707070707071,"[None, None, None]",0
Reinforce,pro22_ade_p3,0.6,0.01,0.2,,0.7341772151898734,"[None, None, None]",0
Reinforce,pro22_ade_p3,0.7,0.01,0.05,,0.7833333333333333,"[None, None, None]",0
Reinforce,pro22_ade_p3,0.8,0.5,0.8,,0.95,"[None, None, None]",0
Reinforce,pro22_ade_p3,0.9,0.1,0.9,,0.9,"[None, None, None]",0
Reinforce,pro31_adf_p3,0.05,0.01,0.5,,0.7040816326530612,"[None, None, None]",0
Reinforce,pro31_adf_p3,0.1,0.01,0.05,,0.0967741935483871,"[None, None, None]",0
Reinforce,pro31_adf_p3,0.2,0.01,0.05,,0.10843373493975904,"[None, None, None]",0
Reinforce,pro31_adf_p3,0.3,0.01,0.05,,0.821917808219178,"[None, None, None]",0
Reinforce,pro31_adf_p3,0.4,0.01,0.05,,0.7903225806451613,"[None, None, None]",0
Reinforce,pro31_adf_p3,0.5,0.01,0.05,,0.75,"[None, None, None]",0
Reinforce,pro31_adf_p3,0.6,0.1,0.1,,0.6904761904761905,"[None, None, None]",0
Reinforce,pro31_adf_p3,0.7,0.01,0.05,,0.6129032258064516,"[None, None, None]",0
Reinforce,pro31_adf_p3,0.8,0.01,0.8,,0.6190476190476191,"[None, None, None]",0
Reinforce,pro31_adf_p3,0.9,0.1,0.5,,0.36363636363636365,"[None, None, None]",0
Reinforce,pro8_acf_p3,0.05,0.001,0.05,,0.5363636363636364,"[None, None, None]",0
Reinforce,pro8_acf_p3,0.1,0.01,0.05,,0.4423076923076923,"[None, None, None]",0
Reinforce,pro8_acf_p3,0.2,0.01,0.2,,0.41304347826086957,"[None, None, None]",0
Reinforce,pro8_acf_p3,0.3,0.01,0.2,,0.5925925925925926,"[None, None, None]",0
Reinforce,pro8_acf_p3,0.4,0.01,0.1,,0.6086956521739131,"[None, None, None]",0
Reinforce,pro8_acf_p3,0.5,0.01,0.1,,0.7413793103448276,"[None, None, None]",0
Reinforce,pro8_acf_p3,0.6,0.1,0.2,,0.6739130434782609,"[None, None, None]",0
