Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon
QLearn,pro11_bcf_p2,0.05,0.0001,0.5,0,0.44680851063829785,0,1.0105263157894737,0.7
QLearn,pro11_bcf_p2,0.1,0.0001,0.5,0,0.4,0,1.010989010989011,0.7
QLearn,pro11_bcf_p2,0.2,0.0001,0.5,0,0.525,0,1.0123456790123457,0.5
QLearn,pro11_bcf_p2,0.3,0.1,0.05,0,0.6571428571428571,0,1.0140845070422537,0.1
QLearn,pro11_bcf_p2,0.4,0.1,0.2,0,0.6333333333333333,0,1.0163934426229506,0.1
QLearn,pro11_bcf_p2,0.5,0.5,0.2,0,0.68,0,1.0196078431372548,0.05
QLearn,pro11_bcf_p2,0.6,0.5,0.8,0,0.7,0,1.024390243902439,0.1
QLearn,pro11_bcf_p2,0.7,0.5,0.05,0,0.7333333333333333,0,1.032258064516129,0.1
QLearn,pro11_bcf_p2,0.8,0.001,0.8,0,0.7,0,1.0476190476190477,0.1
QLearn,pro11_bcf_p2,0.9,0.0001,0.8,0,0.8,0,1.090909090909091,0.05
QLearn,pro27_bcf_p2,0.05,0.0001,0.05,0,0.5625,0,1.0103092783505154,0.05
QLearn,pro27_bcf_p2,0.1,0.001,0.5,0,0.26666666666666666,0,1.0109890109890112,1.0
QLearn,pro27_bcf_p2,0.2,0.0001,0.05,0,0.55,0,1.0123456790123457,0.1
QLearn,pro27_bcf_p2,0.3,0.0001,0.8,0,0.5714285714285714,0,1.0140845070422535,0.1
QLearn,pro27_bcf_p2,0.4,0.1,0.1,0,0.6333333333333333,0,1.0163934426229508,0.1
QLearn,pro27_bcf_p2,0.5,0.5,0.5,0,0.76,0,1.0196078431372548,0.05
QLearn,pro27_bcf_p2,0.6,0.5,0.2,0,0.65,0,1.0243902439024393,0.05
QLearn,pro27_bcf_p2,0.7,0.0001,0.1,0,0.6666666666666666,0,1.0322580645161292,0.1
QLearn,pro27_bcf_p2,0.8,0.001,0.8,0,0.6,0,1.047619047619048,0.1
QLearn,pro27_bcf_p2,0.9,0.0001,0.5,0,0.8,0,1.090909090909091,0.1
QLearn,pro30_bde_p2,0.05,0.0001,0.05,0,0.5625,0,1.0303030303030303,0.01
QLearn,pro30_bde_p2,0.1,0.0001,0.05,0,0.5333333333333333,0,1.032258064516129,0.01
QLearn,pro30_bde_p2,0.2,0.001,0.8,0,0.5384615384615384,0,1.037037037037037,0.5
QLearn,pro30_bde_p2,0.3,0.0001,0.05,0,0.5833333333333334,0,1.04,0.7
QLearn,pro30_bde_p2,0.4,0.0001,0.2,0,0.7,0,1.0476190476190477,0.1
QLearn,pro30_bde_p2,0.5,0.001,0.1,0,0.875,0,1.0588235294117647,0.1
QLearn,pro30_bde_p2,0.6,0.01,0.99,0,0.8571428571428571,0,1.0666666666666667,0.5
QLearn,pro30_bde_p2,0.7,0.0001,0.8,0,1.0,0,1.0909090909090908,0.05
QLearn,pro30_bde_p2,0.8,0.0001,0.2,0,1.0,0,1.111111111111111,0.1
QLearn,pro30_bde_p2,0.9,0.0001,0.8,0,1.0,0,1.2000000000000002,0.1
QLearn,pro19_bcf_p2,0.05,0.001,0.8,0,0.2903225806451613,0,1.008,1
QLearn,pro19_bcf_p2,0.1,0.5,0.2,0,0.5084745762711864,0,1.0084033613445378,0.5
QLearn,pro19_bcf_p2,0.2,0.0001,0.05,0,0.4230769230769231,0,1.0095238095238097,0.1
QLearn,pro19_bcf_p2,0.3,0.001,0.05,0,0.43478260869565216,0,1.010752688172043,0.1
QLearn,pro19_bcf_p2,0.4,0.01,0.1,0,0.7435897435897436,0,1.0126582278481011,0.05
QLearn,pro19_bcf_p2,0.5,0.001,0.05,0,0.696969696969697,0,1.0149253731343282,0.1
QLearn,pro19_bcf_p2,0.6,0.001,0.9,0,0.6538461538461539,0,1.0188679245283019,0.05
QLearn,pro19_bcf_p2,0.7,0.0001,0.2,0,0.5,0,1.0243902439024393,0.1
QLearn,pro19_bcf_p2,0.8,0.0001,0.1,0,0.38461538461538464,0,1.037037037037037,0.1
QLearn,pro19_bcf_p2,0.9,0.5,0.1,0,0.2857142857142857,0,1.0666666666666667,0.05
QLearn,pro6_bde_p2,0.05,0.0001,0.05,0,0.6666666666666666,0,1.0232558139534884,0.01
QLearn,pro6_bde_p2,0.1,0.0001,0.05,0,0.65,0,1.024390243902439,0.01
QLearn,pro6_bde_p2,0.2,0.01,0.05,0,0.3888888888888889,0,1.027027027027027,0.7
QLearn,pro6_bde_p2,0.3,0.0001,0.05,0,0.625,0,1.0303030303030303,0.5
QLearn,pro6_bde_p2,0.4,0.1,0.1,0,0.6428571428571429,0,1.0344827586206897,0.5
QLearn,pro6_bde_p2,0.5,0.0001,0.1,0,0.8181818181818182,0,1.0434782608695652,0.1
QLearn,pro6_bde_p2,0.6,0.0001,0.9,0,1.0,0,1.0526315789473684,0.05
QLearn,pro6_bde_p2,0.7,0.0001,0.9,0,1.0,0,1.0666666666666667,0.05
QLearn,pro6_bde_p2,0.8,0.5,0.8,0,0.6,0,1.090909090909091,0.5
QLearn,pro6_bde_p2,0.9,0.0001,0.1,0,1.0,0,1.1428571428571428,0.1
QLearn,pro2_bce_p2,0.05,0.0001,0.05,0,0.6888888888888889,0,1.010989010989011,0.1
QLearn,pro2_bce_p2,0.1,0.0001,0.05,0,0.5581395348837209,0,1.0114942528735633,0.5
QLearn,pro2_bce_p2,0.2,0.0001,0.05,0,0.6842105263157895,0,1.012987012987013,0.1
QLearn,pro2_bce_p2,0.3,0.0001,0.05,0,0.3333333333333333,0,1.0149253731343284,0.1
QLearn,pro2_bce_p2,0.4,0.1,0.05,0,0.7586206896551724,0,1.0169491525423728,0.1
QLearn,pro2_bce_p2,0.5,0.5,0.05,0,0.75,0,1.0204081632653061,0.1
QLearn,pro2_bce_p2,0.6,0.0001,0.9,0,0.7894736842105263,0,1.0256410256410258,0.05
QLearn,pro2_bce_p2,0.7,0.5,0.2,0,0.9333333333333333,0,1.032258064516129,0.05
QLearn,pro2_bce_p2,0.8,0.1,0.1,0,1.0,0,1.0476190476190474,0.05
QLearn,pro2_bce_p2,0.9,0.1,0.2,0,1.0,0,1.090909090909091,0.1
QLearn,stu12_bdf_p2,0.05,0.0001,0.05,0,0.8064516129032258,0,1.015873015873016,0.01
QLearn,stu12_bdf_p2,0.1,0.001,0.8,0,0.3448275862068966,0,1.0169491525423728,1.0
QLearn,stu12_bdf_p2,0.2,0.01,0.05,0,0.6923076923076923,0,1.0188679245283019,0.7
QLearn,stu12_bdf_p2,0.3,0.001,0.05,0,0.9130434782608695,0,1.021276595744681,0.05
QLearn,stu12_bdf_p2,0.4,0.001,0.99,0,0.9,0,1.024390243902439,0.1
