User,Accuracy,Algorithm,StateAccuracy,Predictions,GroundTruth
pro10_bdf_p2,0.8157894736842105,Greedy,"[None, None, None]","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['modify-1', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same']"
pro11_bcf_p2,0.5531914893617021,Greedy,"[None, None, None]","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'modify-2', 'modify-2', 'same', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'modify-2', 'same', 'modify-1', 'same', 'same', 'modify-2', 'modify-1', 'modify-1', 'same', 'same', 'same', 'modify-2', 'same', 'modify-1', 'modify-2', 'same', 'same', 'same', 'modify-3', 'modify-2', 'modify-2', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'same', 'same']"
pro12_bdf_p2,0.5463917525773195,Greedy,"[None, None, None]","['same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-3', 'modify-3', 'modify-3', 'modify-3', 'same', 'same', 'same', 'same', 'modify-3', 'same', 'modify-3', 'same', 'modify-3', 'modify-3', 'modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-3', 'modify-3', 'modify-1', 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-3', 'modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'same', 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'modify-1', 'modify-2', 'same', 'same', 'modify-1', 'same', 'modify-2', 'modify-3', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-2', 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-2', 'modify-1', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same']"
pro14_bdf_p2,0.4888888888888889,Greedy,"[None, None, None]","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'same', 'modify-2', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-2', 'modify-1', 'modify-3', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'modify-1', 'modify-2', 'modify-2', 'same', 'modify-1', 'same', 'modify-1', 'modify-2', 'modify-2', 'modify-1', 'modify-1', 'modify-2', 'same', 'modify-2', 'same', 'modify-1', 'same']"
pro16_bce_p2,0.7419354838709677,Greedy,"[None, None, None]","['same', 'same', 'same', 'same', 'modify-2', 'modify-1', 'modify-1', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
pro19_bcf_p2,0.59375,Greedy,"[None, None, None]","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['modify-1', 'modify-1', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'modify-1', 'same', 'same', 'same', 'modify-2', 'same', 'modify-3', 'modify-2', 'modify-2', 'same', 'modify-3', 'modify-2', 'modify-2', 'same', 'modify-2', 'same', 'same', 'same', 'modify-2', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'same', 'same']"
pro1_bcf_p2,0.5769230769230769,Greedy,"[None, None, None]","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['modify-1', 'same', 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'modify-1', 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-2', 'same', 'same']"
pro26_bde_p2,0.5357142857142857,Greedy,"[None, None, None]","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'modify-2', 'same', 'modify-2', 'modify-2', 'modify-2', 'modify-2']","['same', 'modify-1', 'same', 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'modify-1', 'same']"
pro27_bcf_p2,0.6304347826086957,Greedy,"[None, None, None]","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'modify-2', 'same', 'same', 'modify-2', 'same', 'modify-1', 'modify-1', 'same', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-1', 'same', 'modify-1', 'modify-1', 'same', 'modify-2', 'same', 'same']"
pro28_bce_p2,0.6111111111111112,Greedy,"[None, None, None]","['same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['modify-1', 'modify-1', 'modify-2', 'modify-2', 'modify-1', 'same', 'modify-1', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'modify-3', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
