User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
pro13_ace_p4,0.3148148148148148,0.05,0,0,Greedy,0,0.0
pro13_ace_p4,0.47058823529411764,0.1,0,0,Greedy,0,0.0
pro13_ace_p4,0.4175824175824176,0.2,0,0,Greedy,0,0.0
pro13_ace_p4,0.4375,0.3,0,0,Greedy,0,0.0
pro13_ace_p4,0.3235294117647059,0.4,0,0,Greedy,0,0.0
pro13_ace_p4,0.5964912280701754,0.5,0,0,Greedy,0,0.0
pro13_ace_p4,0.6086956521739131,0.6,0,0,Greedy,0,0.0
pro13_ace_p4,0.5882352941176471,0.7,0,0,Greedy,0,0.0
pro13_ace_p4,0.30434782608695654,0.8,0,0,Greedy,0,0.0
pro13_ace_p4,0.25,0.9,0,0,Greedy,0,0.0
pro15_ade_p4,0.3302752293577982,0.05,0,0,Greedy,0,0.0
pro15_ade_p4,0.3300970873786408,0.1,0,0,Greedy,0,0.0
pro15_ade_p4,0.358695652173913,0.2,0,0,Greedy,0,0.0
pro15_ade_p4,0.425,0.3,0,0,Greedy,0,0.0
pro15_ade_p4,0.34782608695652173,0.4,0,0,Greedy,0,0.0
pro15_ade_p4,0.45614035087719296,0.5,0,0,Greedy,0,0.0
pro15_ade_p4,0.5217391304347826,0.6,0,0,Greedy,0,0.0
pro15_ade_p4,0.22857142857142856,0.7,0,0,Greedy,0,0.0
pro15_ade_p4,0.21739130434782608,0.8,0,0,Greedy,0,0.0
pro15_ade_p4,0.0,0.9,0,0,Greedy,0,0.0
pro17_ace_p4,0.45384615384615384,0.05,0,0,Greedy,0,0.0
pro17_ace_p4,0.2886178861788618,0.1,0,0,Greedy,0,0.0
pro17_ace_p4,0.3561643835616438,0.2,0,0,Greedy,0,0.0
pro17_ace_p4,0.3020833333333333,0.3,0,0,Greedy,0,0.0
pro17_ace_p4,0.36585365853658536,0.4,0,0,Greedy,0,0.0
pro17_ace_p4,0.32116788321167883,0.5,0,0,Greedy,0,0.0
pro17_ace_p4,0.2727272727272727,0.6,0,0,Greedy,0,0.0
pro17_ace_p4,0.3780487804878049,0.7,0,0,Greedy,0,0.0
pro17_ace_p4,0.2545454545454545,0.8,0,0,Greedy,0,0.0
pro17_ace_p4,0.21428571428571427,0.9,0,0,Greedy,0,0.0
pro18_adf_p4,0.5205479452054794,0.05,0,0,Greedy,0,0.0
pro18_adf_p4,0.37681159420289856,0.1,0,0,Greedy,0,0.0
pro18_adf_p4,0.3442622950819672,0.2,0,0,Greedy,0,0.0
pro18_adf_p4,0.37037037037037035,0.3,0,0,Greedy,0,0.0
pro18_adf_p4,0.32608695652173914,0.4,0,0,Greedy,0,0.0
pro18_adf_p4,0.3157894736842105,0.5,0,0,Greedy,0,0.0
pro18_adf_p4,0.5161290322580645,0.6,0,0,Greedy,0,0.0
pro18_adf_p4,0.6086956521739131,0.7,0,0,Greedy,0,0.0
pro18_adf_p4,0.6875,0.8,0,0,Greedy,0,0.0
pro18_adf_p4,0.875,0.9,0,0,Greedy,0,0.0
pro20_ade_p4,0.4658119658119658,0.05,0,0,Greedy,0,0.0
pro20_ade_p4,0.47297297297297297,0.1,0,0,Greedy,0,0.0
pro20_ade_p4,0.41116751269035534,0.2,0,0,Greedy,0,0.0
pro20_ade_p4,0.43352601156069365,0.3,0,0,Greedy,0,0.0
pro20_ade_p4,0.49324324324324326,0.4,0,0,Greedy,0,0.0
pro20_ade_p4,0.4796747967479675,0.5,0,0,Greedy,0,0.0
pro20_ade_p4,0.5252525252525253,0.6,0,0,Greedy,0,0.0
pro20_ade_p4,0.5135135135135135,0.7,0,0,Greedy,0,0.0
pro20_ade_p4,0.34,0.8,0,0,Greedy,0,0.0
pro20_ade_p4,0.6,0.9,0,0,Greedy,0,0.0
pro21_ade_p4,0.35714285714285715,0.05,0,0,Greedy,0,0.0
pro21_ade_p4,0.44086021505376344,0.1,0,0,Greedy,0,0.0
pro21_ade_p4,0.39919354838709675,0.2,0,0,Greedy,0,0.0
pro21_ade_p4,0.41013824884792627,0.3,0,0,Greedy,0,0.0
pro21_ade_p4,0.42473118279569894,0.4,0,0,Greedy,0,0.0
