Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,pro18_adf_p4,0.05,0.001,0.1,,0.3968253968253968,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.1,0.001,0.2,,0.38666666666666666,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.2,0.0001,0.05,,0.32075471698113206,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.3,0.0001,0.1,,0.28085106382978725,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.4,0.0001,0.05,,0.16999999999999998,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.5,0.001,0.05,,0.18181818181818182,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.6,0.001,0.05,,0.2148148148148148,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.7,0.0001,0.1,,0.27999999999999997,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.8,0.001,0.1,,0.5,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.9,0.0001,0.1,,0.4,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.05,0.0001,0.5,,0.1508771929824561,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.1,0.0001,0.05,,0.6777777777777778,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.2,0.001,0.05,,0.75,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.3,0.0001,0.8,,0.5476190476190477,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.4,0.001,0.05,,0.8277777777777778,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.5,0.1,0.1,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.6,0.001,0.05,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.7,0.001,0.1,,0.7777777777777778,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.8,0.001,0.1,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.9,0.001,0.1,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.05,0.0001,0.99,,0.28125,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.1,0.001,0.05,,0.36065573770491804,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.2,0.0001,0.2,,0.3851851851851852,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.3,0.001,0.2,,0.3829787234042553,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.4,0.001,0.99,,0.35121951219512193,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.5,0.001,0.8,,0.08823529411764706,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.6,0.0001,0.9,,0.2518518518518519,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.7,0.001,0.2,,0.38095238095238093,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.8,0.001,0.05,,0.42857142857142855,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.9,0.01,0.1,,0.8571428571428571,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.05,0.0001,0.5,,0.6712328767123288,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.1,0.0001,0.1,,0.37971014492753624,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.2,0.001,0.5,,0.5409836065573771,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.3,0.0001,0.1,,0.44074074074074077,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.4,0.001,0.1,,0.8695652173913043,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.5,0.001,0.1,,0.868421052631579,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.6,0.001,0.1,,0.832258064516129,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.7,0.001,0.05,,0.9130434782608695,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.8,0.001,0.05,,0.875,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.9,0.001,0.05,,0.875,"[None, None, None]",0
Reinforce,pro24_adf_p4,0.05,0.001,0.2,,0.06666666666666668,"[None, None, None]",0
Reinforce,pro24_adf_p4,0.1,0.0001,0.9,,0.18028169014084505,"[None, None, None]",0
Reinforce,pro24_adf_p4,0.2,0.1,0.1,,0.6126984126984127,"[None, None, None]",0
Reinforce,pro24_adf_p4,0.3,0.001,0.2,,0.5272727272727271,"[None, None, None]",0
Reinforce,pro24_adf_p4,0.4,0.001,0.05,,0.5702127659574469,"[None, None, None]",0
Reinforce,pro24_adf_p4,0.5,0.01,0.99,,0.5025641025641026,"[None, None, None]",0
Reinforce,pro24_adf_p4,0.6,0.001,0.1,,0.50625,"[None, None, None]",0
Reinforce,pro24_adf_p4,0.7,0.001,0.5,,0.525,"[None, None, None]",0
Reinforce,pro24_adf_p4,0.8,0.001,0.05,,0.4375,"[None, None, None]",0
Reinforce,pro24_adf_p4,0.9,0.01,0.5,,0.375,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.05,0.0001,0.8,,0.7230769230769231,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.1,0.001,0.05,,0.7837837837837838,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.2,0.001,0.05,,0.7727272727272727,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.3,0.001,0.05,,0.7413793103448276,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.4,0.001,0.05,,0.76,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.5,0.0001,0.2,,0.751219512195122,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.6,0.001,0.05,,0.7272727272727273,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.7,0.001,0.05,,0.72,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.8,0.001,0.1,,0.7058823529411765,"[None, None, None]",0
Reinforce,pro25_acf_p4,0.9,0.001,0.05,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.05,0.01,0.99,,0.7454545454545454,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.1,0.0001,0.2,,0.6957446808510639,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.2,0.0001,0.05,,0.6285714285714287,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.3,0.0001,0.05,,0.7452054794520547,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.4,0.001,0.05,,0.746031746031746,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.5,0.0001,0.2,,0.7384615384615384,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.6,0.001,0.05,,0.8285714285714286,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.7,0.001,0.05,,0.84375,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.8,0.001,0.2,,0.8571428571428571,"[None, None, None]",0
Reinforce,pro22_ade_p4,0.9,0.001,0.05,,0.909090909090909,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.05,0.0001,0.05,,0.007017543859649122,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.1,0.001,0.99,,0.7074074074074075,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.2,0.0001,0.8,,0.575,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.3,0.001,0.05,,0.7380952380952381,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.4,0.001,0.05,,0.7555555555555555,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.5,0.01,0.05,,0.7,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.6,0.001,0.05,,0.7916666666666666,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.7,0.001,0.5,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.8,0.001,0.05,,0.75,"[None, None, None]",0
Reinforce,pro8_acf_p4,0.9,0.001,0.05,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.05,0.0001,0.5,,0.6566666666666666,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.1,0.0001,0.5,,0.6771929824561403,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.2,0.0001,0.1,,0.588235294117647,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.3,0.0001,0.1,,0.6355555555555555,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.4,0.001,0.05,,0.6578947368421053,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.5,0.001,0.05,,0.65,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.6,0.001,0.05,,0.6153846153846154,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.7,0.001,0.1,,0.5684210526315789,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.8,0.001,0.05,,0.46153846153846156,"[None, None, None]",0
Reinforce,pro5_adf_p4,0.9,0.001,0.05,,0.42857142857142855,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.05,0.01,0.99,,0.5259259259259259,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.1,0.001,0.05,,0.5454545454545454,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.2,0.01,0.05,,0.5588235294117647,"[None, None, None]",0
Reinforce,pro31_adf_p4,0.3,0.001,0.05,,0.55,"[None, None, None]",0
