Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1,rank
ActorCritic,pro13_ace_p4,0.8,0.0001,0.5,1.0,0.5217391304347826,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro13_ace_p4,0.9,0.0001,0.9,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro15_ade_p4,0.05,0.5,0.5,1.0,0.4403669724770642,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro15_ade_p4,0.1,0.0001,0.2,1.0,0.5533980582524272,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro15_ade_p4,0.2,0.001,0.5,1.0,0.5543478260869565,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro15_ade_p4,0.3,0.001,0.05,1.0,0.55,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro15_ade_p4,0.4,0.001,0.99,1.0,0.5217391304347826,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro15_ade_p4,0.5,0.1,0.5,1.0,0.631578947368421,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro15_ade_p4,0.6,0.01,0.1,1.0,0.5652173913043478,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro15_ade_p4,0.7,0.0001,0.99,1.0,0.6285714285714286,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro15_ade_p4,0.8,0.01,0.5,1.0,0.6086956521739131,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro15_ade_p4,0.9,0.5,0.1,1.0,0.5,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro22_ade_p4,0.05,0.0001,0.5,1.0,0.7,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro22_ade_p4,0.1,0.0001,0.5,1.0,0.6991869918699187,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro22_ade_p4,0.2,0.1,0.9,1.0,0.7247706422018348,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro22_ade_p4,0.3,0.001,0.05,1.0,0.71875,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro22_ade_p4,0.4,0.0001,0.8,1.0,0.6951219512195121,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro22_ade_p4,0.5,0.0001,0.05,1.0,0.6911764705882353,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro22_ade_p4,0.6,0.001,0.05,1.0,0.7454545454545455,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro22_ade_p4,0.7,0.1,0.5,1.0,0.7317073170731707,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro22_ade_p4,0.8,0.1,0.9,1.0,0.6785714285714286,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro22_ade_p4,0.9,0.0001,0.1,1.0,0.8571428571428571,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro25_acf_p4,0.05,0.0001,0.99,1.0,0.5460992907801419,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro25_acf_p4,0.1,0.0001,0.05,1.0,0.1119402985074626,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro25_acf_p4,0.2,0.5,0.5,1.0,0.5546218487394958,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro25_acf_p4,0.3,0.1,0.9,1.0,0.5384615384615384,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro25_acf_p4,0.4,0.001,0.2,1.0,0.5617977528089888,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro25_acf_p4,0.5,0.1,0.9,1.0,0.6351351351351351,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro25_acf_p4,0.6,0.1,0.9,1.0,0.65,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro25_acf_p4,0.7,0.5,0.2,1.0,0.6222222222222222,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro25_acf_p4,0.8,0.1,0.05,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro25_acf_p4,0.9,0.1,0.1,1.0,0.7333333333333333,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro8_acf_p4,0.05,0.0001,0.5,1.0,0.5555555555555556,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro8_acf_p4,0.1,0.0001,0.05,1.0,0.5529411764705883,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro8_acf_p4,0.2,0.0001,0.2,1.0,0.5394736842105263,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro8_acf_p4,0.3,0.01,0.2,1.0,0.5757575757575758,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro8_acf_p4,0.4,0.001,0.8,1.0,0.5789473684210527,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro8_acf_p4,0.5,0.0001,0.5,1.0,0.574468085106383,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro8_acf_p4,0.6,0.001,0.1,1.0,0.6052631578947368,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro8_acf_p4,0.7,0.001,0.9,1.0,0.4827586206896552,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro8_acf_p4,0.8,0.001,0.05,1.0,0.4736842105263157,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro8_acf_p4,0.9,0.1,0.8,1.0,0.3,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro5_adf_p4,0.05,0.0001,0.5,1.0,0.5309734513274337,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro5_adf_p4,0.1,0.0001,0.05,1.0,0.5233644859813084,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro5_adf_p4,0.2,0.001,0.1,1.0,0.5368421052631579,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro5_adf_p4,0.3,0.0001,0.8,1.0,0.5662650602409639,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro5_adf_p4,0.4,0.0001,0.8,1.0,0.5070422535211268,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro5_adf_p4,0.5,0.1,0.1,1.0,0.5423728813559322,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro5_adf_p4,0.6,0.1,0.1,1.0,0.6458333333333334,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro5_adf_p4,0.7,0.001,0.9,1.0,0.7222222222222222,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro5_adf_p4,0.8,0.001,0.2,1.0,0.5416666666666666,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro5_adf_p4,0.9,0.1,0.2,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro29_ace_p4,0.05,0.0001,0.2,1.0,0.5064935064935064,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro29_ace_p4,0.1,0.001,0.5,1.0,0.6301369863013698,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro29_ace_p4,0.2,0.001,0.1,1.0,0.6153846153846154,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro29_ace_p4,0.3,0.001,0.05,1.0,0.6228070175438597,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro29_ace_p4,0.4,0.001,0.05,1.0,0.5816326530612245,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro29_ace_p4,0.5,0.1,0.05,1.0,0.6296296296296297,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro29_ace_p4,0.6,0.0001,0.8,1.0,0.6461538461538462,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro29_ace_p4,0.7,0.1,0.9,1.0,0.673469387755102,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro29_ace_p4,0.8,0.1,0.9,1.0,0.6060606060606061,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro29_ace_p4,0.9,0.001,0.2,1.0,0.5882352941176471,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro20_ade_p4,0.05,0.01,0.05,1.0,0.6068376068376068,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro20_ade_p4,0.1,0.001,0.5,1.0,0.6036036036036037,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro20_ade_p4,0.2,0.001,0.99,1.0,0.6345177664974619,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro20_ade_p4,0.3,0.0001,0.9,1.0,0.630057803468208,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro20_ade_p4,0.4,0.0001,0.05,1.0,0.6216216216216216,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro20_ade_p4,0.5,0.001,0.05,1.0,0.6178861788617886,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro20_ade_p4,0.6,0.0001,0.05,1.0,0.6363636363636364,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro20_ade_p4,0.7,0.5,0.5,1.0,0.3918918918918919,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro20_ade_p4,0.8,0.5,0.8,1.0,0.62,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro20_ade_p4,0.9,0.0001,0.1,1.0,0.72,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro3_ace_p4,0.05,0.0001,0.2,1.0,0.5972222222222222,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro3_ace_p4,0.1,0.1,0.5,1.0,0.5955882352941176,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro3_ace_p4,0.2,0.1,0.5,1.0,0.6115702479338843,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro3_ace_p4,0.3,0.001,0.05,1.0,0.5849056603773585,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro3_ace_p4,0.4,0.0001,0.05,1.0,0.5934065934065934,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro3_ace_p4,0.5,0.1,0.2,1.0,0.5921052631578947,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro3_ace_p4,0.6,0.1,0.05,1.0,0.6557377049180327,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro3_ace_p4,0.7,0.1,0.5,1.0,0.717391304347826,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro3_ace_p4,0.8,0.1,0.9,1.0,0.8709677419354839,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro3_ace_p4,0.9,0.1,0.99,1.0,1.0,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro31_adf_p4,0.05,0.0001,0.8,1.0,0.4178082191780822,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro31_adf_p4,0.1,0.001,0.8,1.0,0.4057971014492754,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro31_adf_p4,0.2,0.001,0.5,1.0,0.4065040650406504,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro31_adf_p4,0.3,0.5,0.8,1.0,0.4166666666666667,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro31_adf_p4,0.4,0.01,0.1,1.0,0.3369565217391304,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro31_adf_p4,0.5,0.001,0.5,1.0,0.3376623376623376,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro31_adf_p4,0.6,0.001,0.8,1.0,0.3387096774193548,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro31_adf_p4,0.7,0.1,0.9,1.0,0.3478260869565217,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro31_adf_p4,0.8,0.001,0.05,1.0,0.3225806451612903,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro31_adf_p4,0.9,0.1,0.9,1.0,0.375,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro9_acf_p4,0.05,0.001,0.9,1.0,0.512,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro9_acf_p4,0.1,0.01,0.9,1.0,0.5084745762711864,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
